Date,Sportsbook,Sport,System,Notes,Pick,FreeBet,Amount,Odds,Result,PushAmount,bet_group,CleanedOdds,PotentialProfit,PotentialPayout,ImpliedProbability,Expected Value,ActualPayout
2023-06-22,DraftKings,Basketball,Hedge,,"1-5 correct order NBA draft: Wemby, Miller, Scoot, Amen, Ausar",N,$0.50,500.0,W,,2023 NBA Draft Order 1-5,500.0,$2.50,$3.00,17.0,$0.58,$3.00
2023-06-22,DraftKings,Basketball,Data analysis,,"1-5 correct order NBA draft: Wemby, Scoot, Miller, Amen, Ausar",N,$0.50,200.0,L,,2023 NBA Draft Order 1-5,200.0,$1.00,$1.50,33.0,$0.66,$-0.50
2023-07-19,DraftKings,Soccer,Internet,,Reach Semi Final - Netherlands,N,$0.10,350.0,L,,,350.0,$0.35,$0.45,22.0,$0.92,$-0.10
2023-07-19,DraftKings,Golf,Internet,,Top 5- Cameron Smith,N,$0.10,450.0,L,,,450.0,$0.45,$0.55,18.0,$0.92,$-0.10
2023-07-19,DraftKings,Golf,Internet,,Top 10- Cameron Smith,N,$0.10,220.0,L,,,220.0,$0.22,$0.32,31.0,$0.93,$-0.10
2023-07-19,DraftKings,Golf,Internet,,Top 5- Rory McIlroy,N,$0.10,190.0,L,,,190.0,$0.19,$0.29,34.0,$0.93,$-0.10
2023-07-19,DraftKings,Golf,Internet,,Top 10- Tyrell Hatton,N,$0.10,260.0,L,,,260.0,$0.26,$0.36,28.0,$0.93,$-0.10
2023-07-19,DraftKings,Golf,Internet,,Top 10- Jason Day,N,$0.10,100.0,W,,,100.0,$0.10,$0.20,50.0,$0.95,$0.20
2023-07-19,DraftKings,Golf,Internet,,Top 10- Cameron Young,N,$0.10,550.0,W,,,550.0,$0.55,$0.65,15.0,$0.92,$0.65
2023-07-19,DraftKings,Golf,Internet,,Top 10- Tom Kim,N,$0.10,550.0,W,,,550.0,$0.55,$0.65,15.0,$0.92,$0.65
2023-07-19,DraftKings,Golf,Internet,Odds boost,Winner - Scottie Scheffler,N,$0.10,1000.0,L,,2023 PGA The Open Championship,1000.0,$1.00,$1.10,9.0,$0.91,$-0.10
2023-07-19,DraftKings,Golf,Internet,,Winner - Cameron Smith,N,$0.10,2000.0,L,,2023 PGA The Open Championship,2000.0,$2.00,$2.10,5.0,$0.90,$-0.10
2023-07-19,DraftKings,Golf,Internet,,Top 5- Scottie Scheffler,N,$0.10,150.0,L,,,150.0,$0.15,$0.25,40.0,$0.94,$-0.10
2023-07-19,DraftKings,Soccer,Internet,,Reach Semi Final - Germany,N,$0.10,110.0,L,,,110.0,$0.11,$0.21,48.0,$0.95,$-0.10
2023-07-19,DraftKings,Golf,Internet,,Top 10- Collin Morikawa,N,$0.10,280.0,L,,,280.0,$0.28,$0.38,26.0,$0.93,$-0.10
2023-07-19,DraftKings,Soccer,Internet,,Top Goalscorer- Barbra Banda,N,$0.10,2500.0,C,$0.01,,2500.0,$2.50,$2.60,4.0,$0.90,$0.01
2023-07-19,DraftKings,Football,Internet,,Denver Broncos to lsoe in Wild Card Round,N,$0.10,450.0,C,$0.04,,450.0,$0.45,$0.55,18.0,$0.92,$0.04
2023-07-19,DraftKings,Football,Internet,,Chiefs to lose in Super Bowl,N,$0.10,750.0,C,$0.10,,750.0,$0.75,$0.85,12.0,$0.91,$0.10
2023-07-19,DraftKings,Soccer,Internet,,Goals Leader- Sophia Smith,N,$0.10,600.0,L,,2023 Women's World Cup Goals Leader,600.0,$0.60,$0.70,14.0,$0.91,$-0.10
2023-07-19,DraftKings,Soccer,Internet,,Goals Leader- Sam Kerr,N,$0.10,750.0,C,$0.02,2023 Women's World Cup Goals Leader,750.0,$0.75,$0.85,12.0,$0.91,$0.02
2023-07-19,DraftKings,Soccer,Internet,,Reach Semi Final - Denmark,N,$0.10,750.0,L,,,750.0,$0.75,$0.85,12.0,$0.91,$-0.10
2023-07-19,DraftKings,Soccer,Internet,,Name the Final - USA v. Germany,N,$0.10,650.0,L,,,650.0,$0.65,$0.75,13.0,$0.91,$-0.10
2023-07-19,DraftKings,Soccer,Internet,,Goals Leader- Bethany England,N,$0.10,6500.0,C,$0.02,2023 Women's World Cup Goals Leader,6500.0,$6.50,$6.60,2.0,$0.90,$0.02
2023-07-19,DraftKings,Soccer,Internet,,Group Winner - Denmark,N,$0.10,1000.0,L,,,1000.0,$1.00,$1.10,9.0,$0.91,$-0.10
