Bet Group: 2023 MLB AL Cy Young
Total Payout:, $-0.50

2023-08-07,DraftKings,Golf,Internet,,Winner - Scottie Scheffler,N,$0.10,600.0,C,0.01,,600.0,0.6,0.7,14.0,0.91,0.01,7.0,$0.60,$0.20,200.0
2023-08-07,DraftKings,Golf,Golf magazine system,,Winner - Collin Morikawa,N,$0.10,2500.0,C,0.02,,2500.0,2.5,2.6,4.0,0.9,0.02,26.0,$2.50,$2.10,2100.0
Bet Group: 2023 PGA Fedex St. Jude Top 10
Total Payout:, $-0.37

2023-08-07,DraftKings,Golf,Positive odds,,Top 10 - Viktor Hovland,N,$0.10,190.0,L,,,190.0,0.19,0.29,34.0,0.93,-0.1,2.9,$0.19,$-0.61,-610.0
2023-08-07,DraftKings,Golf,Positive odds,,Top 10 - Jon Rahm,N,$0.10,-105.0,L,,,105.0,0.1,0.2,51.0,0.95,-0.1,1.9523809523809523,$0.10,$-0.70,-704.76
2023-08-07,DraftKings,Golf,Positive odds,,Top 10 - Rickie Fowler,N,$0.10,260.0,L,,,260.0,0.26,0.36,28.0,0.93,-0.1,3.6,$0.26,$-0.54,-540.0
2023-08-07,DraftKings,Golf,Golf magazine system,,Top 10 - Tony Finau,N,$0.10,280.0,L,,,280.0,0.28,0.38,26.0,0.93,-0.1,3.8,$0.28,$-0.52,-520.0
2023-08-07,DraftKings,Golf,Positive odds,,Top 10 - Collin Morikawa,N,$0.10,220.0,L,,,220.0,0.22,0.32,31.0,0.93,-0.1,3.2,$0.22,$-0.58,-580.0
2023-08-07,DraftKings,Golf,Positive odds,,Top 10 - Cameron Young,N,$0.10,330.0,L,,,330.0,0.33,0.43,23.0,0.92,-0.1,4.3,$0.33,$-0.47,-470.0
2023-08-07,DraftKings,Golf,Golf magazine system,,Top 10 - Tommy Fleetwood,N,$0.10,230.0,W,,,230.0,0.23,0.33,30.0,0.93,0.33,3.3,$0.23,$-0.57,-570.0
2023-08-07,DraftKings,Golf,Positive odds,Odds boost,Top 10 - Tom Kim,N,$0.10,107.0,L,,,107.0,0.11,0.21,48.0,0.95,-0.1,2.0700000000000003,$0.11,$-0.69,-693.0
Bet Group: 2023 PGA Fedex St. Jude Top 20
Total Payout:, $-0.30

2023-08-07,DraftKings,Golf,Positive odds,,Top 20 - Cameron Young,N,$0.10,130.0,L,,,130.0,0.13,0.23,43.0,0.94,-0.1,2.3,$0.13,$-0.17,-170.0
2023-08-07,DraftKings,Golf,Positive odds,,Top 20 - Rickie Fowler,N,$0.10,105.0,L,,,105.0,0.11,0.21,49.0,0.95,-0.1,2.05,$0.10,$-0.20,-195.0
2023-08-07,DraftKings,Golf,Positive odds,,Top 20 - Tony Finau,N,$0.10,110.0,L,,,110.0,0.11,0.21,48.0,0.95,-0.1,2.1,$0.11,$-0.19,-190.0
Bet Group: 2023 PGA The Open Championship
Total Payout:, $-0.20

2023-07-19,DraftKings,Golf,Internet,Odds boost,Winner - Scottie Scheffler,N,$0.10,1000.0,L,,,1000.0,1.0,1.1,9.0,0.91,-0.1,11.0,$1.00,$0.80,800.0
2023-07-19,DraftKings,Golf,Internet,,Winner - Cameron Smith,N,$0.10,2000.0,L,,,2000.0,2.0,2.1,5.0,0.9,-0.1,21.0,$2.00,$1.80,1800.0
Bet Group: 2023 Women's World Cup Goals Leader
Total Payout:, $-0.15

2023-07-19,DraftKings,Soccer,Internet,,Goals Leader- Sophia Smith,N,$0.10,600.0,L,,,600.0,0.6,0.7,14.0,0.91,-0.1,7.0,$0.60,$0.10,100.0
2023-07-19,DraftKings,Soccer,Internet,,Goals Leader- Sam Kerr,N,$0.10,750.0,C,0.02,,750.0,0.75,0.85,12.0,0.91,0.02,8.5,$0.75,$0.25,250.0
2023-07-19,DraftKings,Soccer,Internet,,Goals Leader- Bethany England,N,$0.10,6500.0,C,0.02,,6500.0,6.5,6.6,2.0,0.9,0.02,66.0,$6.50,$6.00,6000.0
2023-07-19,DraftKings,Soccer,Internet,,Goals Leader- Alex Morgan,N,$0.10,400.0,C,0.01,,400.0,0.4,0.5,20.0,0.92,0.01,5.0,$0.40,$-0.10,-100.0
2023-07-19,DraftKings,Soccer,Internet,,Goals Leader- Alexandra Popp,N,$0.10,900.0,L,,,900.0,0.9,1.0,10.0,0.91,-0.1,10.0,$0.90,$0.40,400.0
Bet Group: 2024 AL Champion
Minimum ROI:, -20.0
Average ROI:, 1392.0

2024-09-24,FanDuel,Baseball,Wild Card Gets To World Series Angle,,AL Champion- Orioles,N,$0.10,480.0,L,,,480.0,0.48,0.58,17.0,0.92,-0.1,5.8,$0.48,$-0.02,-20.0
2024-09-24,FanDuel,Baseball,Wild Card Gets To World Series Angle,,AL Champion- Tigers,N,$0.10,5000.0,P,,,5000.0,5.0,5.1,2.0,0.9,0.0,51.0,$5.00,$4.50,4500.0
2024-09-24,FanDuel,Baseball,Wild Card Gets To World Series Angle,,AL Champion- Orioles,N,$0.10,480.0,L,,,480.0,0.48,0.58,17.0,0.92,-0.1,5.8,$0.48,$-0.02,-20.0
2024-09-24,FanDuel,Baseball,Wild Card Gets To World Series Angle,,AL Champion- Royals,N,$0.10,1600.0,P,,,1600.0,1.6,1.7,6.0,0.91,0.0,17.0,$1.60,$1.10,1100.0
2024-09-24,FanDuel,Baseball,Wild Card Gets To World Series Angle,,AL Champion- Tigers,N,$0.10,1900.0,P,,,1900.0,1.9,2.0,5.0,0.9,0.0,20.0,$1.90,$1.40,1400.0
Bet Group: 2024 AL Cy Young
Total Payout:, $-0.20

2024-03-13,DraftKings,Baseball,Sportsline,,AL Cy Young- Cole Ragans,N,$0.10,1800.0,L,,,1800.0,1.8,1.9,5.0,0.9,-0.1,19.0,$1.80,$1.60,1600.0
2024-05-23,DraftKings,Baseball,Intuition,,AL Cy Young- Seth Lugo,N,$0.10,2200.0,L,,,2200.0,2.2,2.3,4.0,0.9,-0.1,23.0,$2.20,$2.00,2000.0
