Date,Sportsbook,Sport,System,Notes,Pick,FreeBet,Amount,Odds,Result,PushAmount,bet_group,CleanedOdds,PotentialProfit,PotentialPayout,ImpliedProbability,Expected Value,ActualPayout
2023-07-19,DraftKings,Golf,Internet,,Top 5- Scottie Scheffler,N,0.1,150.0,L,,,150.0,0.15,0.25,40.0,0.94,-0.1
2023-07-19,DraftKings,Soccer,Internet,,Reach Semi Final - Germany,N,0.1,110.0,L,,,110.0,0.11,0.21,48.0,0.95,-0.1
2023-07-19,DraftKings,Golf,Internet,,Top 10- Collin Morikawa,N,0.1,280.0,L,,,280.0,0.28,0.38,26.0,0.93,-0.1
2023-07-19,DraftKings,Soccer,Internet,,Top Goalscorer- Barbra Banda,N,0.1,2500.0,C,0.01,,2500.0,2.5,2.6,4.0,0.9,0.01
2023-07-19,DraftKings,Football,Internet,,Denver Broncos to lsoe in Wild Card Round,N,0.1,450.0,C,0.04,,450.0,0.45,0.55,18.0,0.92,0.04
2023-07-19,DraftKings,Football,Internet,,Chiefs to lose in Super Bowl,N,0.1,750.0,C,0.1,,750.0,0.75,0.85,12.0,0.91,0.1
2023-07-19,DraftKings,Soccer,Internet,,Goals Leader- Sophia Smith,N,0.1,600.0,L,,2023 Women's World Cup Goals Leader,600.0,0.6,0.7,14.0,0.91,-0.1
2023-07-19,DraftKings,Soccer,Internet,,Goals Leader- Sam Kerr,N,0.1,750.0,C,0.02,2023 Women's World Cup Goals Leader,750.0,0.75,0.85,12.0,0.91,0.02
2023-07-19,DraftKings,Soccer,Internet,,Reach Semi Final - Denmark,N,0.1,750.0,L,,,750.0,0.75,0.85,12.0,0.91,-0.1
2023-07-19,DraftKings,Soccer,Internet,,Name the Final - USA v. Germany,N,0.1,650.0,L,,,650.0,0.65,0.75,13.0,0.91,-0.1
2023-07-19,DraftKings,Soccer,Internet,,Goals Leader- Bethany England,N,0.1,6500.0,C,0.02,2023 Women's World Cup Goals Leader,6500.0,6.5,6.6,2.0,0.9,0.02
2023-07-19,DraftKings,Soccer,Internet,,Group Winner - Denmark,N,0.1,1000.0,L,,,1000.0,1.0,1.1,9.0,0.91,-0.1
