,Date,Sport,System,Notes,Pick,BetType,FreeBet,Amount,Odds,Result,PushAmount,Group,CleanedOdds,PotentialProfit,PotentialPayout,ImpliedProbability,Expected Value,ActualPayout,TotalAfterRepay,MuneersCut,BrittsCut
20,2023-10-29,Football,Laghezza,,Cam Akers - 4 rec,Prop,N,0.2,1225.0,L,,1029 Cam Akers,1225.0,2.45,2.65,8.0,0.82,-0.2,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
21,2023-10-29,Football,Laghezza,,Breece Hall - 5 rec,Prop,N,0.2,525.0,W,,1029 Breece Hall,525.0,1.05,1.25,16.0,0.83,1.25,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
22,2023-10-29,Football,Laghezza,,Demario Douglas - 5 rec,Prop,N,0.2,550.0,W,,1029 Demario Douglas,550.0,1.1,1.3,15.0,0.83,1.3,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
23,2023-10-29,Football,Laghezza,,Jauan Jennings - 5 rec,Prop,N,0.2,525.0,L,,1029 Jauan Jennings,525.0,1.05,1.25,16.0,0.83,-0.2,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
24,2023-10-29,Football,Laghezza,,Roschon Johnson - 4 rec,Prop,N,0.4,360.0,L,,1029 Roschon Johnson,360.0,1.44,1.84,22.0,0.69,-0.4,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
25,2023-10-29,Football,Laghezza,,Roschon Johnson - 5 rec,Prop,N,0.2,925.0,L,,1029 Roschon Johnson,925.0,1.85,2.05,10.0,0.82,-0.2,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
26,2023-10-29,Football,Laghezza,,Roschon Johnson - 6 rec,Prop,N,0.2,1600.0,L,,1029 Roschon Johnson,1600.0,3.2,3.4,6.0,0.81,-0.2,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
27,2023-11-06,Football,Laghezza,,Breece Hall - 5 rec,Prop,N,0.2,360.0,L,,1106 Breece Hall,360.0,0.72,0.92,22.0,0.84,-0.2,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
28,2023-11-06,Football,Laghezza,,Breece Hall - 6 rec,Prop,N,0.2,825.0,L,,1106 Breece Hall,825.0,1.65,1.85,11.0,0.82,-0.2,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
29,2023-11-06,Football,Laghezza,,Austin Ekeler - 75 rec yds,Prop,N,0.2,825.0,L,,1106 Austin Ekeler,825.0,1.65,1.85,11.0,0.82,-0.2,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
30,2023-11-06,Hockey,Plus EV,,Edmonton -Vancouver over 6.5 goals,Over/Under,Y,1.0,-150.0,W,,,150.0,0.67,0.67,60.0,0.6,0.67,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
31,2023-11-06,Basketball,Parlay IQ,,Chet Holmgren under 1.5 threes,Prop,Y,1.0,105.0,W,,,105.0,1.05,1.05,49.0,0.49,1.05,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
32,2023-11-07,NCAAB,GameDay Math,,LaSalle,Moneyline,Y,1.0,125.0,W,,,125.0,1.25,1.25,44.0,0.44,1.25,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
33,2023-11-07,NCAAB,GameDay Math,,Auburn,Moneyline,Y,1.0,-120.0,L,,,120.0,0.83,0.83,55.0,0.55,0.0,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
34,2023-11-10,Basketball,GameDay Math,,Pelicans,Moneyline,Y,1.0,105.0,L,,,105.0,1.05,1.05,49.0,0.49,0.0,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
35,2023-11-10,Football,GameDay Math,,LA Chargers,Moneyline,Y,1.0,-150.0,L,,,150.0,0.67,0.67,60.0,0.6,0.0,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
36,2023-11-10,Soccer,GameDay Math,,Liverpool-Brentford over 3.5 goals,Over/Under,Y,1.0,110.0,L,,,110.0,1.1,1.1,48.0,0.48,0.0,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
